Event Id,Restaurant Id,Restaurant Name,Photo URL,Event Title,Event Start Date,Event End Date
333108,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Apna Stadium Khud Chuno - IPL 2019 Big Match Day,2019-04-03,2019-05-05
334920,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Ladies Night,2019-04-11,2019-04-11
334922,18751849,Five Mad Men,https://www.zomato.com/kolkata/five-mad-men-1-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Game of Thrones - Special Screening of season 8,2019-04-15,2019-04-15
336892,18392725,Tamasha,https://www.zomato.com/mumbai/tamasha-lower-parel/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bombay Velvet,2019-04-11,2019-04-12
336898,18392725,Tamasha,https://www.zomato.com/mumbai/tamasha-lower-parel/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Zulfi Performing Live,2019-04-12,2019-04-13
298104,18701052,The Fusion Kitchen,https://www.zomato.com/mumbai/the-fusion-kitchen-marol/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,HAPPY HOURS 1+1 ,2019-03-15,2019-04-30
336881,18566818,JLWA,https://www.zomato.com/mumbai/jlwa-linking-road-bandra-west/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Juggy & Band Live,2019-04-10,2019-04-11
318235,48851,Rude Lounge,https://www.zomato.com/mumbai/rude-lounge-powai/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Zumba Fitness with ZIN Mohsin & ZIN Varsha at Rude Powai,2019-04-20,2019-04-20
330912,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Live Cricket Screening (Exclusive),2019-03-25,2019-04-30
337298,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Happy Hours ,2019-04-09,2020-05-29
336620,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Glam & Glitz Bolly Molly Ladies Retro Night,2019-04-10,2019-04-11
336992,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,MTV Swag Ladies Night ,2019-04-11,2019-04-12
337480,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Friday Night,2019-04-12,2019-04-13
337300,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Saturday Night,2019-04-13,2019-04-14
337023,18205932,The Cult - Peninsula Grand Hotel,https://www.zomato.com/mumbai/the-cult-peninsula-grand-hotel-sakinaka/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Sunday Night ,2019-04-14,2019-04-15
336281,18580259,Coffee Culture,https://www.zomato.com/mumbai/coffee-culture-hill-road-bandra-west/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Ink-A-Laugh Presents Bearly Funny,2019-04-11,2019-04-11
336279,18580259,Coffee Culture,https://www.zomato.com/mumbai/coffee-culture-hill-road-bandra-west/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Stand Up Comedy @ Coffee Culture, Bandra On Every Thursday !",2019-04-18,2019-04-18
332812,18522518,Vikhroli Social,https://www.zomato.com/vikhrolisocial/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Live 20/20 Match Screenings,2019-03-29,2019-05-23
233993,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Corporate Buffet Lunch at 199/-* (Monday to Friday) ,2019-01-09,2019-05-31
292701,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Friday Bollywood Night ,2019-02-01,2019-04-30
292145,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Thursday Retro Night ,2019-02-07,2019-04-30
314235,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Saturday Live Band Night ,2019-02-14,2019-06-30
310422,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Sunday Karaoke Night ,2019-02-15,2019-04-30
309090,18397684,Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Wednesday Angel's Night ,2019-02-20,2019-04-30
310712,18691230,Grandmama's Café,https://www.zomato.com/mumbai/grandmamas-café-ghatkopar-west/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Grandmama's Burger Shake & Fries Combo,2019-02-09,2019-04-20
328877,18691230,Grandmama's Café,https://www.zomato.com/mumbai/grandmamas-café-ghatkopar-west/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,IPL Hours at Grandmama's Cafe,2019-03-25,2019-05-19
277195,18706428,Byg Brewski Brewing Company,https://www.zomato.com/bangalore/byg-brewski-brewing-company-hennur-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Sunday Brunch,2018-11-25,2019-12-29
279297,18706428,Byg Brewski Brewing Company,https://www.zomato.com/bangalore/byg-brewski-brewing-company-hennur-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Byg Spirited Labels,2018-11-29,2019-04-30
279336,18706428,Byg Brewski Brewing Company,https://www.zomato.com/bangalore/byg-brewski-brewing-company-hennur-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Corporate Events,2018-11-29,2019-12-31
329360,18871246,ShakesBierre,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,MOODYMONDAYS,2019-03-22,2019-04-30
329396,18871246,ShakesBierre,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,SUNDAYBRUNCH,2019-03-22,2019-04-30
329375,18871246,ShakesBierre,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,FABULOUSFRIDAY,2019-03-22,2019-04-30
329363,18871246,ShakesBierre,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,BIERRAOKE,2019-03-22,2019-04-30
329793,18871246,ShakesBierre,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,SWAGGERSATURDAY,2019-03-23,2019-04-30
332383,18871246,ShakesBierre,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,STANDUPCOMEDY,2019-03-28,2019-04-30
335948,18772094,Bombay Adda,https://www.zomato.com/bangalore/bombay-adda-koramangala-7th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Ladies & Models Night Ft. DJ Njay,2019-04-11,2019-04-12
335953,18772094,Bombay Adda,https://www.zomato.com/bangalore/bombay-adda-koramangala-7th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Friday Night Ft. Kaleem & Basand,2019-04-12,2019-04-13
335954,18772094,Bombay Adda,https://www.zomato.com/bangalore/bombay-adda-koramangala-7th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Saturday Night Ft. Kaleem & Basand,2019-04-13,2019-04-14
335989,18772094,Bombay Adda,https://www.zomato.com/bangalore/bombay-adda-koramangala-7th-block-bangalore/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unplugged Night Ft. Saher,2019-04-14,2019-04-15
328860,18387426,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-marathahalli/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cricket Season Specials at The Black Pearl Marathahalii,2019-03-20,2019-06-10
334204,18387426,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-marathahalli/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Multiple Corporate Offers at the Black Pearl Marathahalli ,2019-04-02,2020-03-31
334206,18387426,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-marathahalli/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Early Bird & Late Bird Offers at Black Pearl ,2019-04-02,2020-03-31
334210,18387426,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-marathahalli/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Cocktails and Mocktails offers at Black Pearl ,2019-04-02,2020-03-31
270216,57833,Big Pitcher,https://www.zomato.com/bangalore/big-pitcher-airport-road/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,New Food Menu Launch at Big Pitcher,2018-11-01,2020-10-31
302811,54162,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Special Pirate Packages for Lunch ,2019-01-23,2019-04-30
319906,54162,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,WEEKLY OFFERS,2019-02-28,2019-12-31
327964,54162,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Circket  Fever ,2019-03-23,2019-05-12
336921,54162,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Unlimited Alcohol Offers at The Black Pearl,2019-04-08,2020-03-31
336924,54162,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,"Every 11 pax get 1 free buffet, Every 20 pax get 2 free buffet",2019-04-08,2020-03-31
336929,54162,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Early Bird Offer & Full Bottle Offer,2019-04-08,2020-03-31
336932,54162,The Black Pearl,https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Sunday Specials at The Black Pearl,2019-04-08,2020-03-31
251427,18595782,The Pallet,https://www.zomato.com/bangalore/the-pallet-whitefield/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,The Desi Electrifier Night | Every Wednesday | Ft. DJ 303K | Bollywood Deep House,2019-04-10,2019-04-10
194302,18595782,The Pallet,https://www.zomato.com/bangalore/the-pallet-whitefield/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Planning an office event? | Corporate Packages & Discounts,2019-04-11,2019-04-11
332104,18595782,The Pallet,https://www.zomato.com/bangalore/the-pallet-whitefield/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Live T-20 Sports Screening | Beer Pitchers @ 500/-,2019-04-11,2019-04-11
262407,18595782,The Pallet,https://www.zomato.com/bangalore/the-pallet-whitefield/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,BollyEDM Night | This Friday | Ft. DJ Ashwin | EDM and Bollywood Night,2019-04-12,2019-04-12
199069,18595782,The Pallet,https://www.zomato.com/bangalore/the-pallet-whitefield/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Bollywood Night Ft. DJ SAM | Live Dhol Performance,2019-04-13,2019-04-13
206595,18595782,The Pallet,https://www.zomato.com/bangalore/the-pallet-whitefield/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Sunday Brunch,2019-04-14,2019-04-14
288350,18595782,The Pallet,https://www.zomato.com/bangalore/the-pallet-whitefield/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Sunday Rewind | Ft. DJ Sam,2019-04-14,2019-04-14
204342,18595782,The Pallet,https://www.zomato.com/bangalore/the-pallet-whitefield/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Corporate Lunch | Buffet | Monday - Saturday | @ INR 599,2019-04-15,2019-04-15
264218,18595782,The Pallet,https://www.zomato.com/bangalore/the-pallet-whitefield/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Monday Madness | Ft. DJ Sam | Full Day Happy Hours,2019-04-15,2019-04-15
332261,18537585,The Reservoire,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,IPL Live Screening at The Reservoire,2019-03-28,2019-05-12
309852,18537585,The Reservoire,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Happy Corporate Hours: 15% off! ,2019-04-02,2019-05-07
317312,18537585,The Reservoire,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,Happy Hours @ Reservoire,2019-04-09,2019-05-26
